latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.58,3.9599996,4.0,7200,Europe/Paris,CEST

time,temperature_2m (°C),relativehumidity_2m (%),apparent_temperature (°C),precipitation (mm)
2023-10-28T16:00,19.7,57,18.2,0.00

time,temperature_2m (°C),relativehumidity_2m (%),apparent_temperature (°C),precipitation (mm),temperature_80m (°C)
2023-10-28T00:00,13.7,77,12.8,0.00,15.2
2023-10-28T01:00,13.2,79,12.4,0.00,15.0
2023-10-28T02:00,12.5,83,11.9,0.00,15.0
2023-10-28T03:00,11.7,88,11.1,0.00,14.5
2023-10-28T04:00,11.0,90,10.0,0.00,14.3
2023-10-28T05:00,10.3,89,9.1,0.00,14.0
2023-10-28T06:00,10.6,86,9.4,0.00,13.7
2023-10-28T07:00,10.7,84,9.5,0.00,13.1
2023-10-28T08:00,10.5,81,8.9,0.00,12.2
2023-10-28T09:00,10.7,81,9.1,0.00,11.8
2023-10-28T10:00,11.9,76,10.2,0.00,11.9
2023-10-28T11:00,13.9,70,11.7,0.00,12.7
2023-10-28T12:00,15.7,64,13.7,0.00,14.2
2023-10-28T13:00,17.2,60,15.6,0.00,15.6
2023-10-28T14:00,18.7,57,17.1,0.00,17.1
2023-10-28T15:00,19.5,54,17.7,0.00,17.9
2023-10-28T16:00,19.7,57,18.1,0.00,18.4
2023-10-28T17:00,19.2,64,18.0,0.00,18.2
2023-10-28T18:00,18.7,71,18.1,0.00,18.1
2023-10-28T19:00,17.6,78,17.4,0.00,17.8
2023-10-28T20:00,16.7,79,16.4,0.00,17.2
2023-10-28T21:00,15.4,84,15.0,0.00,16.6
2023-10-28T22:00,14.8,86,14.0,0.00,15.8
2023-10-28T23:00,14.6,87,13.3,0.00,15.1
2023-10-29T00:00,14.3,89,12.7,0.00,14.6
2023-10-29T01:00,14.1,93,12.9,0.00,14.7
2023-10-29T02:00,14.5,94,14.2,0.00,15.3
2023-10-29T03:00,14.6,93,14.6,0.00,15.2
2023-10-29T04:00,14.5,93,14.3,0.00,15.4
2023-10-29T05:00,14.2,94,14.0,0.00,15.9
2023-10-29T06:00,14.5,93,14.3,0.00,15.7
2023-10-29T07:00,14.8,94,14.9,0.00,15.9
2023-10-29T08:00,15.3,94,16.2,0.00,16.9
2023-10-29T09:00,16.3,93,17.7,0.00,17.6
2023-10-29T10:00,18.0,93,19.6,0.00,18.0
2023-10-29T11:00,19.9,83,20.0,0.00,19.0
2023-10-29T12:00,20.6,78,19.0,0.00,19.3
2023-10-29T13:00,20.8,77,18.9,0.00,19.3
2023-10-29T14:00,20.8,77,18.6,0.00,19.3
2023-10-29T15:00,20.5,80,18.5,0.00,19.2
2023-10-29T16:00,20.2,81,17.4,0.00,19.2
2023-10-29T17:00,19.9,84,17.2,0.00,19.0      
2023-10-29T18:00,19.6,86,17.6,0.00,19.0
2023-10-29T19:00,19.4,87,17.3,0.00,18.9
2023-10-29T20:00,19.3,87,17.2,0.00,18.9
2023-10-29T21:00,19.3,86,17.3,0.00,18.9
2023-10-29T22:00,19.2,86,17.3,0.00,18.9
2023-10-29T23:00,19.2,86,17.3,0.00,18.9
2023-10-30T00:00,19.2,85,17.2,0.00,18.9
